Category,Organization,Phone,Address,Website,Hours,ProgramName,ProgramDescription,Cost,EligibilityNotes,Veteran,Disability,Age,Gender
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Disaster Relief,,,,N,N,N,N
EDUCATION,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Education,,,,N,N,N,N
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Family and Juvenile,,,,N,N,N,N
FOOD,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Food Assistance,,,,N,N,N,N
HEALTHCARE,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Health,,,,N,N,N,N
HOUSING,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Housing,,,,N,N,N,N
ADVOCACY,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Individual Rights,,,,N,N,N,N
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Pensions,,,,N,N,N,N
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Public Benefits,,,,N,N,N,N
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Resources for New Iowans,,,,N,N,N,N
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Self Help,,,,N,N,N,N
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Taxes,,,,N,N,N,N
OTHER,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Veterans Issues,,,,Y,N,N,N
EMPLOYMENT,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday.",Work,,,,N,N,N,N
HEALTHCARE,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,Pregnancy tests,,0,,N,N,N,N
HEALTHCARE,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,STD testing for chlamydia and gonorrhea,,0,,N,N,N,N
CLOTHING,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,material assistance for pregnancy,,0,,N,N,N,N
ADVOCACY,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,community referrals,18 months – 2 year olds: $170,0,,N,N,N,N
HEALTHCARE,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,information about pregnancy,2 – 3 year olds: $ 150,0,,N,N,N,N
HEALTHCARE,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,abortion and abortion risks,3 – 5 year olds: $ 140,0,,N,N,N,N
HEALTHCARE,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,"alternatives to abortion,",,0,,N,N,N,N
HEALTHCARE,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,prenatal and parenting classes,,0,,N,N,N,N
HEALTHCARE,AGAPE Pregnancy Center,515.255.0243,2550 Martin Luther King Jr Pky,http://www.agapepregnancycenter.com/,Mon & Thurs 10:30AM - 6:30PM,adoption referral information,,0,,N,N,N,N
CLOTHING,Amazing Grace Ministries and Outreach,515.277.9062,1409 23rd Street,http://agmochurch.org/,Sat 11:00AM - 1:00PM,Clothing/Food Pantry,Saturdays 11am-1pm,0,,N,N,N,N
CHILDCARE,Bidwell-Riverside Center,515.244.6251,"1203 SE Hartford Ave. Des Moines, IA. 50315",http://www.bidwellriverside.org/,Mon - Fri 6:30AM - 5:30PM,Child Development Center,6:30-5:30pm,"18 months - 2 year olds: $170, 2 -3 year olds: $150, 3 - 5 year olds: $140",Scholarships offered for people that qualify. DHS funding,N,N,N,N
CLOTHING,Capitol Hill Lutheran Church,515.244.8913,"511 Des Moines Street, Des Moines, Iowa. ",http://web.me.com/capitolhilllutheran/Capitol_Hill_Lutheran_Church/Welcome_to_Capitol_Hill_Lutheran.html,"Wed 3:00PM - 5:00PM, Sat 9:30AM - 11:30AM",Clothing Closet ,Wednesday:3-5pm Saturdays 9:30am-11:30am,0,,N,N,N,N
CLOTHING,First Federated Church,515.255.2122 ext. 122,4801 Franklin Ave,http://www.firstfederated.org/,Wed 12:30PM - 2:00PM,Clothing closet,Wednesdays 12:30-2PM Come in and see what you could use. 1st come 1st serve ,0,,N,N,N,N
CLOTHING,Friendship Baptist Center,515.244.1701,1526 Martin Luther King Blvd,http://www.friendshipbaptistcenter.org/,Tue & Wed 9:30AM - 12:00PM,Clothing closet ,Tuesday and Wednesdays 9:30-Noon,0,,N,N,N,N
CLOTHING,Highland Park Christian Church,515.244.3182,4260 NW 6th Drive,http://hpchristian.com/,Mon & Fri 9:30AM - 11:30AM,Clothing Closet,Monday and Friday 9:30-11:30AM,0,,N,N,N,N
CLOTHING,Hope Ministries (King’s Closet #),515.262.0876,"Hope Bargain Center, 4950 NE 12th Ave, Pleasant Hill",http://www.hopeiowa.org/,"Tue - Fri 10:00AM - 6:00 PM, Sat 9:00AM 5:00PM",King’s Closet Clothing voucher program,King’s Closet Tuesday-Friday 10-6pm Sat: 9-5pm,0,Must apply,N,N,N,N
OTHER,Polk County General Assistance,515.286.2088,"1900 Carpenter Avenue, Des Moines, IA, 50314",http://www.polkcountyiowa.gov/CFYS/pages/generalAssistance.aspx,Mon - Fri 8:00AM - 4:30 PM,Clothing assistance for employment,"This is for clothing to do the job (construction work boots, jackets, gloves, etc.). Have to have your employer send app to polk county then they help with expenses. ",0,"Income requirements, Polk County residency",N,N,N,N
CLOTHING,Des Moines Schools Clothing Program,515.242.7890,1001 Amos Avenue #450,https://events.r2it.com/birdies/charityDetails/Principal/Learning%20Supports%20Web%20Page.htm,,Ron Sallade Children's School Clothing Program,Offers a $50 clothing voucher per child to lower income families with children in the Des Moines Public School system. Must speak with school social worker or counselor to apply.,0,Income requirements,N,N,N,N
OTHER,Veterans Affairs,515.699.5999,1223 Center St. Suite 17,,,Limited clothing help,,0,Veteran,Y,N,N,N
ADVOCACY,PEER Advocacy Program,515-286-2112,"2309 Euclid Ave, Des Moines",http://www.polkcountyiowa.gov/CFYS/pages/peer.aspx,Mon - Fri 8:00AM - 5:00PM,PEER Advocates,"Volunteers over age 60 help clients with general services such as filling out forms or paperwork, helping them go through mail/sort bills, provide information and referrals to other organizations
8-5 Mon-Fri
Don’t need to bring any paperwork
Do accept walk-ins but prefer client to call and make an appointment",0,Must be 60 or older,N,N,>=60,N
ADVOCACY,Family Directions of Iowa,515-255-9490,"1211 Vine Street, Ste 1140, West Des Moines",http://www.parentingway.org/,9am-5pm Mon-Fri,Parents Anonymous Community Parent Groups ,"weekly meetings open to any parent where parents can discuss communication, discipline, parental roles, and methods for dealing with parental stress.  While parents are at the meeting, there’s a structured program for their children at the same time and location. Call 255-9490 for meeting times/locations and join a group.  ",0,,N,N,N,N
CHILDCARE,,,,,,The Parenting Way ,"structured ten-week parenting skills course developed and trademarked by Family Directions of Iowa.  The Parenting Way curriculum addresses the importance of early childhood initiatives and seeks to change parents' knowledge of child development, attitudes toward parenting, and their view of themselves as the most important first step toward enhancing the parent-child relationship.  Classes are held at the Family Directions office in West Des Moines and are free of charge.  Call 255-9490 to register.",0,,N,N,N,N
EDUCATION,"Hispanic Educational Resources, Inc.",515-282-6542 ,"828 Scott Avenue, Des Moines",http://www.herdsm.org/,6:30am-5:30pm Mon-Fri,,"services include assistance with completing enrollment forms, applying for child care assistance, insurance and other benefits.  Also provides referrals for vision, hearing, and dental follow-up care, as well as referrals for other health services.  Has day care program.  Starting new program to help hispanic people complete junior high and high school education (sort of like GED program).  Partners with other agencies to provide members of the community access to a variety of services.  Staff is fully bilingual.",0,,N,N,N,N
CHILDCARE,"Hispanic Educational Resources, Inc.",515-282-6542,"828 Scott Avenue, Des Moines",http://www.herdsm.org/,6:30am-5:30pm Mon-Fri,,Daycare,$140-150/week depending on child’s age,,N,N,N,N
FINANCIAL RESOURCES,"Iowa Department of Human Services, Polk County",515-725-2600,2309 Euclid Ave,http://www.dhs.state.ia.us/,,Family Investment Program ,"The Family Investment Program (FIP) is Iowa's Temporary Assistance to Needy Families (TANF) program. FIP provides cash assistance to needy families as they become self-supporting so that children may be cared for in their own homes or in the homes of relatives. To get a FIP check, you must work with PROMISE JOBS.  PROMISE JOBS is a work and training program that will help you make a plan to support your family.  ",,"Children must be under 18, US Citizen, live in Iowa, have a social security number, and must apply for other benefits that are available such as social security, must provide information on child support.  To apply, get an application from any county DHS office (make an appointment to avoid long waits).  Fill out the application and take or mail it to the local DHS office in the county where you live. The earliest you can get FIP is seven days from the date we get your application. You will be asked to come to an interview and show proof of some things, such as your income.  If you have questions about your application, ask your DHS worker. Your application should be handled within 30 days. You will get a written notice telling you if you can get FIP.  If you are approved for FIP, you’ll get your first check within seven days after you get the letter. ",N,N,N,N
FINANCIAL RESOURCES,"Iowa Department of Human Services, Polk County",515-725-2600,2309 Euclid Ave,http://www.dhs.state.ia.us/,,Family Self-Sufficiency Grants,The purpose of FSSG is to provide immediate and short-term assistance to PROMISE JOBS participant families which will remove specific barriers related to obtaining or retaining employment.,,,N,N,N,N
FINANCIAL RESOURCES,"Iowa Department of Human Services, Polk County",515-725-2600,1900 Carpenter,http://www.dhs.state.ia.us/,,Food Assistance ,"The Food Assistance Program provides Electronic Benefit Transfer (EBT) cards that can be used to buy groceries at supermarkets, grocery stores and some Farmers Markets.",,Must be a US citizen and meet income requirements (not listed).  Apply online or print and mail an application to your local office.,N,N,N,N
OTHER,"Iowa Department of Human Services, Polk County",515-725-2600,2309 Euclid Ave,http://www.dhs.state.ia.us/,,Iowa WIC,"The WIC (Women, Infants, & Children) is a supplemental nutrition program for babies, children under the age of 5, pregnant women, breastfeeding women, and women who have had a baby in the last 6 months. WIC helps families by providing healthy foods, nutrition education, and referrals to other health care agencies.",,"Must have a medical or nutritional need, must have an Iowa address, and must meet income requirements (not listed).  To apply: Make an appointment at your local WIC office. Bring proof of address, identity and income.",N,N,N,N
FINANCIAL RESOURCES,"Iowa Department of Human Services, Polk County",515-725-2600,1900 Carpenter,http://www.dhs.state.ia.us/,"Apply online, print off and mail application, or apply in person at your local DHS office",Child Care Assistance,"Child Care Assistance (CCA) is available to the children of income-eligible parents who are absent for a portion of the day due to employment or participation in academic or vocational training or PROMISE JOBS activities.  Assistance may also be available for a limited period of time to the children of a parent looking for employment or when the parent who normally cares for the child is unable to do so due to hospitalization, or outpatient treatment for physical or mental illness. Child care services are provided to people participating in activities approved under the PROMISE JOBS program and people who receive Family Investment Program (FIP) assistance without regard to Child Care Assistance eligibility requirements if there is a need for child care services.  PROMISE JOBS staff administer Child Care Assistance for child care needed to participate in PROMISE JOBS activities.
Child care services for a child with protective needs are provided without regard to income.  To receive protective child care services, the family must meet specific requirements, and child care must be identified in the child's case permanency plan as a necessary service.",,"You may get help from the Child Care Assistance program if you: Have a child who needs care who is under the age of 13 (or under the age of 19 if the child has special needs). Are a member of a Family Investment Program (FIP) participant household. If you're not a Family Investment Program participant, you may qualify for the CCA program if you: Have a child who needs care who is under the age of 13 (or under the age of 19 if the child has special needs) and have income under the program's limits and work an average of 28 hours per week; or Attend an approvable training or education program full-time; or Are looking for work; or Are unable to provide care because of an approved medical reason.",N,N,N,N
HEALTHCARE,"Iowa Department of Human Services, Polk County",515-725-2600,1900 Carpenter,http://www.dhs.state.ia.us/,"If you have access to a printer, you can print an application from this website (see links below). Complete the application by hand then return it to the DHS office serving the county where you live. You can also get an application form from any county Department of Human Services (DHS) office. Click on County DHS Office Locations  to find the location of the county DHS office nearest you.",Medicaid,"Medicaid is a program that pays for covered medical and health care costs of people who qualify. The Medicaid program is funded by federal and state governments and is managed by the Iowa Department of Human Services. A wide range of medical and health care services is available through the Medicaid program. These services are covered only if they are medically necessary. Medicaid recipients have free choice of a doctor, dentist, pharmacy, and other providers of services. However, in many counties, some people covered by Medicaid are required to get certain medical services through a managed health care provider (either a health maintenance organization (HMO) or a MediPass doctor). These people have the opportunity to select a provider, however, if they do not select one they will be assigned to a provider. A provider that chooses to participate in the Medicaid program must accept the payments that Medicaid makes and make no additional charges to the recipient for services covered under the program. However, some services covered by Medicaid do require a small co-payment be paid.",Some services covered by Medicaid do require a small co-payment be paid.,"Medicaid is available to certain, low income people. You must be one of the following to get Medicaid. These are called eligibility groups. A child under age 21; A parent living with a child under age 18; A woman who is pregnant; A woman who needs treatment for breast or cervical cancer and who has been diagnosed through the Breast and Cervical Cancer Early Detection Program; A person who is aged (over 65); A person who is blind or disabled; Certain Medicare beneficiaries; or A person who meets Social Security disability requirements and is employed. To get help from most Medicaid programs, you must: Be a U.S. citizen or a legal qualified alien.  As of July 1, 2006, anyone who gets or applies for Medicaid needs to show proof of citizenship and identity.  In most cases, if you were born in the United States you are a U.S. citizen. If you have questions or need help with proof of citizenship and identity you can call us toll-free at 1-877-937-3663 or you can contact your worker.  For examples of how to prove U.S. citizenship and identity and for more resources on this topic please click here. Live in Iowa. Provide a social security number or proof of application for a number. Meet income and resource limits (these vary from program to program). Provide all information needed to determine eligibility and benefit level. Exceptions: Up to 3 days of Medicaid is available to pay for the cost of emergency services for aliens who do not meet citizenship, alien status, or social security number requirements. The emergency services must be provided in a facility such as a hospital, clinic, or office that can provide the required care after the emergency medical condition has occurred. .",N,N,N,N
OTHER,Des Moines Community Action Agency,515.283.4180,"1618 Sixth Avenue, Des Moines, Iowa 50314",http://www.dmgov.org/Departments/HousingServices/Pages/Assistance.aspx,"8 am-5 pm: Monday, Wednesday, Friday, 8 am-7 pm: Tuesday and Thursday",Low-Income Home Energy Assistance Program (LIHEAP),One-time payment towards heating costs each winter. Applications are accepted from November 1 through April 15 each year. Applications begin October 1 for Seniors or Disabled.,,Most low-income programs are available to households with annual gross income meeting 150% of federal poverty guidelines.,N,N,N,N
FOOD,Des Moines Community Action Agency,515.283.4180,"1618 Sixth Avenue, Des Moines, Iowa 50314",http://www.dmgov.org/Departments/HousingServices/Pages/Assistance.aspx,"Monday—Friday:  11:00 am—12:45 pm, Monday, Wednesday, Friday:   3:00 pm—4:45 pm, Tuesday & Thursday:  3:00 pm—6:45 pm",Food Pantry,Open to all residents of Des Moines.,0,Most low-income programs are available to households with annual gross income meeting 150% of federal poverty guidelines.,N,N,N,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314 ",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week. ",AgCulture Youth Food and Farm Program,Involves teenagers in the Ames area in growing and cooking fresh food.,,,N,N,13-18,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Community Health,"Provides aggressive outreach, community health fairs, prevention programs and information about available health programs",,,N,N,N,N
ADVOCACY,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Community Care Case Management,Provides community-based case management as part of a statewide program to strengthen families and prevent child abuse and neglect,,,N,N,N,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Community Wireless Internet Program,"Broadband Internet networks for low-income communities, computer education and digital divide advocacy",,,N,N,N,N
EDUCATION,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.","Drop-out Re-Engagement Program,","Street outreach, referral and advocacy services to get youth back in school or an alternative educational setting, such as apprenticeship, GED, tech training, etc.",,,N,N,14-24,N
EDUCATION,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Full Service Community Schools,A holistic approach to the pressing needs of families and children (11 to 14 years of age) in low income areas provided through extended school day programming within the school setting,,,N,N,N,N
ADVOCACY,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Gertrude E. Rush Legal Education Project,"Community outreach, legal referrals and legal education programs at community-based organizations and Des Moines Public Schools",,,N,N,N,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Healthy Start & Empowerment,"These related programs focus on healthier beginnings for children, child development and parenting skills for Polk County families.",,,N,N,0-5,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.","H.E.L.P. (Hope Emergency Lifeline Project),","Natural disaster relief and recovery projects designed to respond to community needs, increase the capacity of the recovery systems, provide a culturally competent response, and fill the gaps that traditional systems cannot manage",,,N,N,N,N
EMPLOYMENT,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",H.E.R.O.(Habilitation and Empowerment for Returning Offenders),Empowers ex-offenders to reintegrate into society through job counseling and an array of developmental life skills,,,N,N,N,N
ADVOCACY,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Latino Dreams,"Information referral, interpretation and translation services, citizenship and ESL classes, and other programs related to the betterment of the Latino community ",,,N,N,N,N
EDUCATION,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Links to Learning,"Provides a structured learning environment to suspended Des Moines Public Schools’ students to reduce suspensions and improve academics, as well as in-school prevention groups for students on the verge of suspension",,,N,N,6 - 14,N
